,.SPXTR,.SPXTR,.SPXTR,.SPXTR,.SPXTR,.SPX,.SPX,.SPX,.SPX,.SPX
,LOW_1,TRDPRC_1,HIGH_1,OPEN_PRC,ACVOL_UNS,LOW_1,TRDPRC_1,HIGH_1,OPEN_PRC,ACVOL_UNS
Date,,,,,,,,,,
1997-06-30,1113.6854,1174.5863,1192.2367,1121.6877,,,,,,
1997-07-31,1182.5656,1268.0452,1268.0452,1182.5656,,,,,,
1997-08-31,1197.007,1197.007,1276.2541,1258.5923,,,,,,
1997-09-30,1215.4133,1262.5628,1272.9529,1234.4396,,,,,,
1997-10-31,1169.6849,1220.3967,1310.5992,1273.5107,,,,,,
1997-11-30,1209.8166,1276.8923,1286.6939,1252.9555,,,,,,
1997-12-31,1247.7502,1298.8214,1315.2774,1302.8191,,,,,,
1998-01-31,1242.1021,1313.1871,1320.1611,1305.0396,,,,,,
1998-02-28,1341.3148,1407.9007,1407.9007,1341.3148,,,,,,
1998-03-31,1389.2711,1479.9975,1484.9194,1405.7312,,,,,,
1998-04-30,1458.7308,1494.8872,1519.623,1488.6954,,,,,,
1998-05-31,1469.1934,1469.1934,1508.7731,1507.3344,,,,,,
1998-06-30,1451.645,1528.8704,1535.0078,1469.4587,,,,,,
1998-07-31,1512.5902,1512.5902,1601.0784,1548.7714,,,,,,
1998-08-31,1293.9036,1293.9036,1501.5319,1501.5319,,,,,,
1998-09-30,1316.8127,1376.7925,1442.6629,1343.9442,,,,,,
1998-10-31,1299.4391,1488.7829,1488.7829,1335.3618,,,,,,
1998-11-30,1505.3203,1579.015,1617.9532,1506.3095,,,,,,
1998-12-31,1549.6306,1670.0056,1687.0335,1594.8713,,,,,,
1999-01-31,1647.5659,1739.839,1739.839,1668.5206,,,,,,
1999-02-28,1654.2373,1685.7667,1731.3231,1730.8111,,,,,,
1999-03-31,1668.3727,1753.2121,1793.85,1682.8603,,,,,,
1999-04-30,1758.1863,1821.1056,1858.2899,1763.3126,,,,,,
